Tag,Description,hasattr,hasglobal,hasevent,hasother,root,stem
<!--...-->,Defines a comment,0,0,0,0,http://www.w3schools.com/tags/tag_,comment.asp
<!DOCTYPE>ξ,Defines the document type,0,0,0,0,http://www.w3schools.com/tags/tag_,
<a>,Defines a hyperlink,1,1,1,1,http://www.w3schools.com/tags/tag_,a.asp
<abbr>,Defines an abbreviation or an acronym,1,1,1,0,http://www.w3schools.com/tags/tag_,abbr.asp
<acronym>,Not supported in HTML5. Use <abbr> instead.Defines an acronym,0,0,0,0,http://www.w3schools.com/tags/tag_,acronym.asp
<address>,Defines contact information for the author/owner of a document,1,1,1,0,http://www.w3schools.com/tags/tag_,address.asp
<applet>,Not supported in HTML5. Use <embed> or <object> instead.Defines an embedded applet,0,0,0,0,http://www.w3schools.com/tags/tag_,applet.asp
<area>,Defines an area inside an image-map,1,1,1,1,http://www.w3schools.com/tags/tag_,area.asp
<article>,Defines an article,1,1,1,0,http://www.w3schools.com/tags/tag_,article.asp
<aside>,Defines content aside from the page content,1,1,1,0,http://www.w3schools.com/tags/tag_,aside.asp
<audio>,Defines sound content,1,1,1,1,http://www.w3schools.com/tags/tag_,audio.asp
<b>,Defines bold text,1,1,1,0,http://www.w3schools.com/tags/tag_,b.asp
<base>,Specifies the base URL/target for all relative URLs in a document,1,1,1,1,http://www.w3schools.com/tags/tag_,base.asp
<basefont>,"Not supported in HTML5. Use CSS instead.Specifies a default color, size, and font for all text in a document",0,0,0,0,http://www.w3schools.com/tags/tag_,basefont.asp
<bdi>,"Isolates a part of text that might be formatted in a different direction from other text outside it",1,1,1,0,http://www.w3schools.com/tags/tag_,bdi.asp
<bdo>,Overrides the current text direction,1,1,1,1,http://www.w3schools.com/tags/tag_,bdo.asp
<big>,Not supported in HTML5. Use CSS instead.Defines big text,0,0,0,0,http://www.w3schools.com/tags/tag_,big.asp
<blockquote>,Defines a section that is quoted from another source,1,1,1,1,http://www.w3schools.com/tags/tag_,blockquote.asp
<body>,Defines the document's body,1,1,1,1,http://www.w3schools.com/tags/tag_,body.asp
<br>,Defines a single line break,1,1,1,0,http://www.w3schools.com/tags/tag_,br.asp
<button>,Defines a clickable button,1,1,1,1,http://www.w3schools.com/tags/tag_,button.asp
<canvas>,"Used to draw graphics, on the fly, via scripting (usually JavaScript)",1,1,1,1,http://www.w3schools.com/tags/tag_,canvas.asp
<caption>,Defines a table caption,1,1,1,1,http://www.w3schools.com/tags/tag_,caption.asp
<center>,Not supported in HTML5. Use CSS instead.Defines centered text,0,0,0,0,http://www.w3schools.com/tags/tag_,center.asp
<cite>,Defines the title of a work,1,1,1,0,http://www.w3schools.com/tags/tag_,cite.asp
<code>,Defines a piece of computer code,1,1,1,1,http://www.w3schools.com/tags/tag_,code.asp
<col>,Specifies column properties for each column within a <colgroup> elementξ,1,1,1,1,http://www.w3schools.com/tags/tag_,col.asp
<colgroup>,Specifies a group of one or more columns in a table for formatting,1,1,1,1,http://www.w3schools.com/tags/tag_,colgroup.asp
<datalist>,Specifies a list of pre-defined options for input controls,1,1,1,0,http://www.w3schools.com/tags/tag_,datalist.asp
<dd>,Defines a description/value of a term in a description list,1,1,1,0,http://www.w3schools.com/tags/tag_,dd.asp
<del>,Defines text that has been deleted from a document,1,1,1,1,http://www.w3schools.com/tags/tag_,del.asp
<details>,Defines additional details that the user can view or hide,1,1,1,1,http://www.w3schools.com/tags/tag_,details.asp
<dfn>,Represents the defining instance of a term,1,1,1,0,http://www.w3schools.com/tags/tag_,dfn.asp
<dialog>,Defines a dialog box or window,1,1,1,1,http://www.w3schools.com/tags/tag_,dialog.asp
<dir>,Not supported in HTML5. Use <ul> instead.Defines a directory list,0,0,0,0,http://www.w3schools.com/tags/tag_,dir.asp
<div>,Defines a section in a document,1,1,1,1,http://www.w3schools.com/tags/tag_,div.asp
<dl>,Defines a description list,1,1,1,0,http://www.w3schools.com/tags/tag_,dl.asp
<dt>,Defines a term/name in a description list,1,1,1,0,http://www.w3schools.com/tags/tag_,dt.asp
<em>,Defines emphasized textξ,1,1,1,0,http://www.w3schools.com/tags/tag_,em.asp
<embed>,Defines a container for an external (non-HTML) application,1,1,1,1,http://www.w3schools.com/tags/tag_,embed.asp
<fieldset>,Groups related elements in a form,1,1,1,1,http://www.w3schools.com/tags/tag_,fieldset.asp
<figcaption>,Defines a caption for a <figure> element,1,1,1,0,http://www.w3schools.com/tags/tag_,figcaption.asp
<figure>,Specifies self-contained content,1,1,1,0,http://www.w3schools.com/tags/tag_,figure.asp
<font>,"Not supported in HTML5. Use CSS instead.Defines font, color, and size for text",0,0,0,0,http://www.w3schools.com/tags/tag_,font.asp
<footer>,Defines a footer for a document or section,1,1,1,0,http://www.w3schools.com/tags/tag_,footer.asp
<form>,Defines an HTML form for user input,1,1,1,1,http://www.w3schools.com/tags/tag_,form.asp
<frame>,Not supported in HTML5.Defines a window (a frame) in a frameset,0,0,0,0,http://www.w3schools.com/tags/tag_,frame.asp
<frameset>,Not supported in HTML5.Defines a set of frames,0,0,0,0,http://www.w3schools.com/tags/tag_,frameset.asp
<h1> to <h6>,Defines HTML headings,1,1,1,0,http://www.w3schools.com/tags/tag_,h1.asp to h6.asp
<head>,Defines information about the document,1,1,0,0,http://www.w3schools.com/tags/tag_,head.asp
<header>,Defines a header for a document or section,1,1,1,0,http://www.w3schools.com/tags/tag_,header.asp
<hr>,Defines a thematic change in the content,1,1,1,1,http://www.w3schools.com/tags/tag_,hr.asp
<html>,Defines the root of an HTML document,1,1,0,1,http://www.w3schools.com/tags/tag_,html.asp
<i>,Defines a part of text in an alternate voice or mood,1,1,1,0,http://www.w3schools.com/tags/tag_,i.asp
<iframe>,Defines an inline frame,1,1,1,1,http://www.w3schools.com/tags/tag_,iframe.asp
<img>,Defines an image,1,1,1,1,http://www.w3schools.com/tags/tag_,img.asp
<input>,Defines an input control,1,1,1,1,http://www.w3schools.com/tags/tag_,input.asp
<ins>,Defines a text that has been inserted into a document,1,1,1,1,http://www.w3schools.com/tags/tag_,ins.asp
<kbd>,Defines keyboard input,1,1,1,0,http://www.w3schools.com/tags/tag_,kbd.asp
<keygen>,Defines a key-pair generator field (for forms),1,1,1,0,http://www.w3schools.com/tags/tag_,keygen.asp
<label>,Defines a labelξfor an <input> element,1,1,1,1,http://www.w3schools.com/tags/tag_,label.asp
<legend>,Defines a caption for a <fieldset> element,1,1,1,1,http://www.w3schools.com/tags/tag_,legend.asp
